name,series
Lena De Spell,DuckTales
Merlock the Magician,DuckTales
Penumbra,DuckTales
Storkules,DuckTales
Webby Vanderquack,DuckTales
Billy Joe Cobra,"Dude, That's My Ghost!"
Mimi Tasogare,Duel Masters
Robby Rotten,Duel Masters
Shizuka Saionji,Duel Masters
Shobu Kirifuda,Duel Masters
Joe Kirifuda,Duel Masters (2017)
Bolmeteus Steel Dragon,Duel Masters Trading Card Game
Bolshack Dragon,Duel Masters Trading Card Game
"Bombazar, Dragon of Destiny",Duel Masters Trading Card Game
Cocco Lupia,Duel Masters Trading Card Game
Ijiwaru Kiyomori,Duel Masters Versus
Benchan,Duel Masters Victory
Gennai Saiba,Duel Masters Victory
Geroppa,Duel Masters Victory
Gou Tetsujo,Duel Masters Victory
Katta Kirifuda,Duel Masters Victory
Louis Yodewara,Duel Masters Victory
Nyari-kun,Duel Masters Victory
Dorothea (DP),Duel Princess
Hilde (DP),Duel Princess
Iris (DP),Duel Princess
Alice Momose,Duel!
Ayumi Nanase,Duel!
Minori Hinata,Duel!
Gelatoni,Duffy and Friends
Duke Nukem,Duke Nukem
Alan Pendragon,Duke Pendragon
Soldrake,Duke Pendragon
Akemi Souryuuin,Dumbbell Nan Kilo Moteru?
Ayaka Uehara,Dumbbell Nan Kilo Moteru?
Hibiki Sakura,Dumbbell Nan Kilo Moteru?
Jason Sgatham,Dumbbell Nan Kilo Moteru?
Kristal Garson,Dumbbell Nan Kilo Moteru?
Kutarou Deire,Dumbbell Nan Kilo Moteru?
Naruzou Machio,Dumbbell Nan Kilo Moteru?
Rumika Aina,Dumbbell Nan Kilo Moteru?
Satomi Tachibana,Dumbbell Nan Kilo Moteru?
Yakusha Kure,Dumbbell Nan Kilo Moteru?
Zina Void,Dumbbell Nan Kilo Moteru?
Amber O'Malley,Dumbing of Age
Joyce Brown,Dumbing of Age
Walky,Dumbing of Age
Dumbo,Dumbo
Timothy Q. Mouse,Dumbo
Duncan (D&E),Duncan and Eddie Comics
Eddie (D&E),Duncan and Eddie Comics
Jing Harris,Duncanville
Chani Kynes,Dune
Jessica Atreides,Dune
Leto Atreides II,Dune
Paul Atreides,Dune
Stilgar,Dune
Akane (DB),Dungeon Busters
Barbatos,Dungeon Defense
Dantalian,Dungeon Defense
Humbaba,Dungeon Defense
King's Beloved Sword,Dungeon Defense
Kinslayer,Dungeon Defense
Lapis Lazuli (DD),Dungeon Defense
Marbas,Dungeon Defense
Paimon (DD),Dungeon Defense
Annis Bainstai,Dungeon Fighter Online
Azalea Lott,Dungeon Fighter Online
Carloso,Dungeon Fighter Online
Demonic Lancer,Dungeon Fighter Online
"Faris, The Sewer Princess",Dungeon Fighter Online
Female Fighter,Dungeon Fighter Online
Female Mage,Dungeon Fighter Online
Female Slayer,Dungeon Fighter Online
Gunner (F),Dungeon Fighter Online
Ikki the Vikki,Dungeon Fighter Online
Imperial Princess Erje,Dungeon Fighter Online
Inferno (DFO),Dungeon Fighter Online
Knight,Dungeon Fighter Online
Male Fighter,Dungeon Fighter Online
Male Gunner,Dungeon Fighter Online
Male Mage,Dungeon Fighter Online
Male Priest,Dungeon Fighter Online
Male Slayer,Dungeon Fighter Online
Nyarly,Dungeon Fighter Online
Pipi,Dungeon Fighter Online
Thanatos (DFO),Dungeon Fighter Online
Cai Wenji,Dungeon Hunter Champions
Katsuko,Dungeon Hunter Champions
Vael'or,Dungeon Hunter Champions
Captain Mithrun,Dungeon Meshi
Chilchuck Chims,Dungeon Meshi
Falin Touden,Dungeon Meshi
Izutsumi,Dungeon Meshi
Kabru,Dungeon Meshi
Laios Touden,Dungeon Meshi
Marcille Donato,Dungeon Meshi
Namari,Dungeon Meshi
Senshi of Izganda,Dungeon Meshi
Shuro,Dungeon Meshi
Emma (DM),Dungeon Munchies
Grill,Dungeon Munchies
Simmer,Dungeon Munchies
Aisha Belka,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Aiz Wallenstein,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Alicia Forestlight,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Alise Lovell,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Allen Fromel,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Amid Teasanare,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Anakitty Autumn,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Anya Fromel,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Apollo (DM),Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Ares (DM),Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Argana Kalif,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Artemis (DM),Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Asfi Al Andromeda,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Asterius (DM),Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Astrea,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Bache Kalif,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Bell Cranel,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Bete Loga,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Cassandra Ilion,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Chigusa Hitachi,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Chloe Lolo,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Damn-you-nysus,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Daphne Lauros,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Demeter,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Divine Smith,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Dix Perdix,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Eina Tulle,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Elfy Colette,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Fear (DM),Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Fels,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Filvis Challia,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Finn Deimne,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Freya,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Ganesha,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Gareth Landrock,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Gros,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Haruhime Sanjouno,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Hedin Selrand,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Hegni Ragnar,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Hermes (DM),Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Hestia,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Ikelos,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Ishtar (DM),Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Kaguya Gojouno,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Kali,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Laura (DM),Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Lefiya Viridis,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Lena Tally,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Liliruca Arde,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Line Arshe,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Loki (DM),Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Lulune Louie,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Lunoire Faust,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Lyd,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Marie (DM),Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Mia Grand,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Miach,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Mikoto Yamato,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Misha Flott,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Naza Ersuisu,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Neze,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Ottarl,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Ouranos,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Ranieh,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Ray (DM),Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Revis,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Riveria Ljos Alf,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Ryu Lion,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Shakti Varma,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Syr Flover,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Talvi,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Thanatos (DM),Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Tiona Hiryute,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Tione Hiryute,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Tsubaki Collbrande,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Valletta Grede,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Welf Crozzo,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Wiene,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Millet Meiruty,Dungeon Party
Jung Daeun,Dungeon Reset
Junpei Takeda,Dungeon Seeker
Alticia,Dungeon Town
Colette Wilch,Dungeon Town
Enerfy,Dungeon Town
Flotina,Dungeon Town
Helio Tidilia,Dungeon Town
Kushina (DT),Dungeon Town
Shiolia,Dungeon Town
Tetra (DT),Dungeon Town
Alisia Heart,Dungeon Travelers 2
Conette St. Honore,Dungeon Travelers 2
Eltricia Vitoire de Ritzhevan,Dungeon Travelers 2
Ist,Dungeon Travelers 2
Lilian Craper,Dungeon Travelers 2
Lizerietta Marsh,Dungeon Travelers 2
Mefmera,Dungeon Travelers 2
Melvy de Florencia,Dungeon Travelers 2
Tsurara,Dungeon Travelers 2
Yae Houzouji,Dungeon Travelers 2
Elena (D&A),Dungeons & Artifacts
"Bobby, the Barbarian",Dungeons & Dragons (Animation)
"Diana, the Acrobat",Dungeons & Dragons (Animation)
Dungeon Master,Dungeons & Dragons (Animation)
"Erik, the Cavalier",Dungeons & Dragons (Animation)
"Hank, the Ranger",Dungeons & Dragons (Animation)
Presto,Dungeons & Dragons (Animation)
"Sheila, the Thief",Dungeons & Dragons (Animation)
"Uni, the Unicorn",Dungeons & Dragons (Animation)
Venger,Dungeons & Dragons (Animation)
Orcus,Dungeons & Dragons (Tabletop)
Tasha (D&D),Dungeons & Dragons (Tabletop)
Tiamat (D&D),Dungeons & Dragons (Tabletop)
Moriah (D&D),Dungeons & Dragons: Shadow over Mystara
Yu Hao,Duo Meng
Zhou Sheng,Duo Meng
Duo,Duolingo
Pan (Duranki),Duranki
Usumgallu,Duranki
Akane Awakusu,Durarara!!
Anri Sonohara,Durarara!!
Aoba Kuronuma,Durarara!!
Celty,Durarara!!
Chiaki Igarashi,Durarara!!
Chikage Rokujou,Durarara!!
Drakon (DRRR),Durarara!!
Earthworm,Durarara!!
Egor,Durarara!!
Eijirou Sharaku,Durarara!!
Emilia Kishitani,Durarara!!
Erika Karisawa,Durarara!!
Haruna Niekawa,Durarara!!
Haruya Shiki,Durarara!!
Hijiribe Ruri,Durarara!!
Himeka Tatsugami,Durarara!!
Hiroto Shijima,Durarara!!
Izaya Orihara,Durarara!!
Kasane Kujiragi,Durarara!!
Kasuka Heiwajima,Durarara!!
Kine (DRRR),Durarara!!
Kinnosuke Kuzuhara,Durarara!!
Kururi Orihara,Durarara!!
Kyouhei Kadota,Durarara!!
Mairu Orihara,Durarara!!
Manami Mamiya,Durarara!!
Masaomi Kida,Durarara!!
Mika Harima,Durarara!!
Mikado Ryuugamine,Durarara!!
Mikage Sharaku,Durarara!!
Mizuki Akabayashi,Durarara!!
Namie Yagiri,Durarara!!
Ran Izumii,Durarara!!
Rio Kamichika,Durarara!!
Saburo Togusa,Durarara!!
Saki Mikajima,Durarara!!
Seiji Yagiri,Durarara!!
Shingen Kishitani,Durarara!!
Shinra Kishitani,Durarara!!
Shizu-chan,Durarara!!
Shu Aozaki,Durarara!!
Shuuji Niekawa,Durarara!!
Simon Brezhnev,Durarara!!
Slon,Durarara!!
Takashi Nasujima,Durarara!!
Tom Tanaka,Durarara!!
Vorona,Durarara!!
Walker Yumasaki,Durarara!!
Yoshimune Miyoshi,Durarara!!
The Intruder,Dusk
Le Viada,Dusk Diver
Yang Yumo,Dusk Diver
Dust,Dust: An Elysian Tail
Fidget,Dust: An Elysian Tail
Haley (Dust),Dust: An Elysian Tail
Reiko (DW),Dutch Wife ni Tsukaretara
Jade Aldemir,Dying Light
Kyle Crane,Dying Light
Aiden Caldwell,Dying Light 2
Aitor,Dying Light 2
Alberto (DL2),Dying Light 2
Barney (DL2),Dying Light 2
Hakon,Dying Light 2
Juan Rainer,Dying Light 2
Waltz,Dying Light 2
Momose Tsumugi,Dynamic Chord
Narumi Amagi,Dynamic Chord
Mistress Hel,Dynamite
Purgatori,Dynamite
Red Sonja,Dynamite
Vampirella,Dynamite
Carrot (Dnx),Dynamix
Bao Sanniang,Dynasty Warriors
Cao Cao,Dynasty Warriors
Cao Pi,Dynasty Warriors
Cao Xiu,Dynasty Warriors
Daqiao,Dynasty Warriors
Diaochan,Dynasty Warriors
Dong Bai,Dynasty Warriors
Fa Zheng,Dynasty Warriors
Gan Ning,Dynasty Warriors
Guan Yinping,Dynasty Warriors
Guan Yu,Dynasty Warriors
Guo Huai,Dynasty Warriors
Guo Jia,Dynasty Warriors
Jia Chong,Dynasty Warriors
Jiang Wei,Dynasty Warriors
Lianshi,Dynasty Warriors
Ling Tong,Dynasty Warriors
Liu Bei,Dynasty Warriors
Lu Bu,Dynasty Warriors
Lu Lingqi,Dynasty Warriors
Lu Meng,Dynasty Warriors
Lu Xun,Dynasty Warriors
Ma Chao,Dynasty Warriors
Pang Tong,Dynasty Warriors
Sima Shi,Dynasty Warriors
Sima Yi,Dynasty Warriors
Sima Zhao,Dynasty Warriors
Sun Ce,Dynasty Warriors
Sun Jian,Dynasty Warriors
Sun Quan,Dynasty Warriors
Sun Shangxiang,Dynasty Warriors
Wang Yi,Dynasty Warriors
Wang Yuanji,Dynasty Warriors
Wen Yang,Dynasty Warriors
Xiahou Ba,Dynasty Warriors
Xiahou Dun,Dynasty Warriors
Xiaoqiao,Dynasty Warriors
Xin Xianying,Dynasty Warriors
Xingcai,Dynasty Warriors
Xu Sheng,Dynasty Warriors
Xu Shu,Dynasty Warriors
Xun You,Dynasty Warriors
Xun Yu,Dynasty Warriors
Yueying,Dynasty Warriors
Zhang Chunhua,Dynasty Warriors
Zhang Fei,Dynasty Warriors
Zhang He,Dynasty Warriors
Zhang Liao,Dynasty Warriors
Zhao Yun,Dynasty Warriors
Zhenji,Dynasty Warriors
Zhong Hui,Dynasty Warriors
Zhou Yu,Dynasty Warriors
Zhu Ran,Dynasty Warriors
Zhuge Liang,Dynasty Warriors
Zhurong,Dynasty Warriors
Kang Gogeun,E Romance
Yoon Boyeon,E Romance
Emi Hanazono,E School Life
Erina Sayama,E School Life
Mia Tougane,E School Life
Misato Suzuyama,E School Life
Rikako Jinnai,E School Life
Yuka Karasuma,E School Life
Erina Matsumoto,E.R.I.N.A.
E.T.,E.T. the Extra-Terrestrial
Gaia (EVO),E.V.O. Search for Eden
Bren Turner,E.X. Tr∞pers
Chris Landbaird,E.X. Tr∞pers
Julie Fliesher,E.X. Tr∞pers
Luan Forest,E.X. Tr∞pers
TeeKee,E.X. Tr∞pers
Dug (EM),Early Man
Black Sesame Seed,EarthBound
Brick Road,EarthBound
Buzz Buzz,EarthBound
Dr. Andonuts,EarthBound
Escargo Express Delivery Man,EarthBound
Giygas,EarthBound
Jeff,EarthBound
Master Belch,EarthBound
Mr. Saturn,EarthBound
Ness,EarthBound
Ness' Mother,EarthBound
Ness's Father,EarthBound
Paula,EarthBound
Poo,EarthBound
Porky Minch,EarthBound
Starman Deluxe,EarthBound
Tracy,EarthBound
White Sesame Seed,EarthBound
Haniwa-chan,Earthen Miraculous Sword
Hibaru Kokutenshi,Earthen Miraculous Sword
Jinbei,Earthen Miraculous Sword
Jun Amanomiya,Earthen Miraculous Sword
Snakeface,Earthen Miraculous Sword
Snakey,Earthen Miraculous Sword
Sunny-chan,Earthen Miraculous Sword
Tasouken,Earthen Miraculous Sword
Walking Lubricant,Earthen Miraculous Sword
Chihaya,Earthian
Kagetsuya,Earthian
Gnart Tigermoth,Earthlock
Lebannen,Earthsea
Sparrowhawk,Earthsea
Tenar,Earthsea
Earthworm Jim,Earthworm Jim
Psy-Crow,Earthworm Jim
Earwig,Earwig and the Witch
The Mandrake,Earwig and the Witch
Alva (EW),Eastward
Isabel (EW),Eastward
John (EW),Eastward
Sam (EW),Eastward
William (EW),Eastward
Maki Yatto,Easy
Dead Spike-san,Eat Beat: Dead Spike-san
Bolt Crank,Eat-Man
Dae,Eaternal Nocturnal
Eve (EN),Eaternal Nocturnal
Hakata Kanamori,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu
Itsuki Noya,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu
Izumiko Todayama,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu
Kyouko Todayama,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu
Dante Bord Schneider,Ebony
Ebony Vonieck,Ebony
Misaki Nakamura,Ecchi na Gal JK
Ayami,Ecchi na Onee-chan ni Shiboraretai
Megumi,Ecchi na Onee-chan ni Shiboraretai
Aki Yamiko,Ecchi Sensei
Aya Atoshi,Ecchi Sensei
Becky Jones,Ecchi Sensei
Chiaki Honda,Ecchi Sensei
Ellie Johnson,Ecchi Sensei
Emilia Kuroda,Ecchi Sensei
Evelynn Reinhardt,Ecchi Sensei
Fuyu Atoshi,Ecchi Sensei
Hana Yoshimizu,Ecchi Sensei
Hanabi Watanabe,Ecchi Sensei
Hanami (ES),Ecchi Sensei
Haruka Tabe,Ecchi Sensei
Himiko Matsumoto,Ecchi Sensei
Hina Aoiki,Ecchi Sensei
Hiroko Matsumoto,Ecchi Sensei
Hitomi Matsumoto,Ecchi Sensei
Ida Lazerson,Ecchi Sensei
Ina Hara,Ecchi Sensei
Itsumi Otso,Ecchi Sensei
Kaede Yamiko,Ecchi Sensei
Karin Sokko,Ecchi Sensei
Kasumi Asakura,Ecchi Sensei
Keiko Satoshi,Ecchi Sensei
Koharu Modegi,Ecchi Sensei
Kotori Oda,Ecchi Sensei
Mao Matsumoto,Ecchi Sensei
Mariko Tsubara,Ecchi Sensei
Marlies Bauer,Ecchi Sensei
Masae Takahase,Ecchi Sensei
Mei Ikeda,Ecchi Sensei
Michiko Nakamura,Ecchi Sensei
Migoto Nakamura,Ecchi Sensei
Mika Shimazu,Ecchi Sensei
Mimi Harada,Ecchi Sensei
Minako Amako,Ecchi Sensei
Misaki Okasawa,Ecchi Sensei
Miyu Nishikawa,Ecchi Sensei
Mizuki Tokugawa,Ecchi Sensei
Momo Egawa,Ecchi Sensei
Nanami Nikaido,Ecchi Sensei
Nikki Asuhara,Ecchi Sensei
Rikka Asai,Ecchi Sensei
Rin Matsuda,Ecchi Sensei
Riu Hattori,Ecchi Sensei
Saki Matsumoto,Ecchi Sensei
Sakura Yoshimizu,Ecchi Sensei
Satomi Fukisawa,Ecchi Sensei
Satsune Yamiko,Ecchi Sensei
Shina Matsuda,Ecchi Sensei
Suzuka Hirabashi,Ecchi Sensei
Taira Takeda,Ecchi Sensei
Tanami Fukisawa,Ecchi Sensei
Tara Takeda,Ecchi Sensei
Tomoe Takeda,Ecchi Sensei
Yui Tanaka,Ecchi Sensei
Yuki Matsumoto,Ecchi Sensei
Ecco,Ecco the Dolphin
Sachiho,Echidna Wars DX
USACO,Echidna Wars DX
Echidna-sama,Echidna-sama no Himatsubushi Dai Roku Soume
Carl Hendricks,Echo
Chase Hunter,Echo
Daxton,Echo
Flynn Moore,Echo
Jenna Begay,Echo
Julian (Echo),Echo
Kudzu Téngwàn,Echo
Leo Alvarez,Echo
Teej,Echo
Primadonna,ECHO (V)
Lilia (ECHO),ECHO (WEBTOON)
Rain Oil,ECHO (WEBTOON)
Void (ECHO),ECHO (WEBTOON)
Raxa,Echoes of Mana
Ned (Eckhart),Eckhart
Shorty (Eckhart),Eckhart
Deathlock-san,ECM
Henrietta (ECM),ECM
Ishtar-san,ECM
Aikawa Shuuko,Ecstas Online
Asagiri Ririko,Ecstas Online
Forneus,Ecstas Online
Kakeru Meguri,Ecstas Online
Meru (Ecstas),Ecstas Online
Satanachia,Ecstas Online
Shizuka Ishinon,Ecstas Online
Ed,"Ed, Edd n Eddy"
Eddy,"Ed, Edd n Eddy"
Hunk of Wood,"Ed, Edd n Eddy"
Imafatso Jimbo,"Ed, Edd n Eddy"
Jonny 2x4,"Ed, Edd n Eddy"
Kevin,"Ed, Edd n Eddy"
Lee Kanker,"Ed, Edd n Eddy"
Marie Kanker,"Ed, Edd n Eddy"
May Kanker,"Ed, Edd n Eddy"
Nazz,"Ed, Edd n Eddy"
Rolf,"Ed, Edd n Eddy"
Sarah,"Ed, Edd n Eddy"
Sockhead,"Ed, Edd n Eddy"
Awful Lawton,EDDIE
Edd (EW),Eddsworld
Eduardo (EW),Eddsworld
Jon,Eddsworld
Laurel,Eddsworld
Mark (EW),Eddsworld
Matt,Eddsworld
Tom (EW),Eddsworld
Tord,Eddsworld
Instructor,EDEN
Sara Grace,Eden (ONA)
Elijah Ballard,Eden: It's an Endless World!
Helena Montoya,Eden: It's an Endless World!
Kenji Asai,Eden: It's an Endless World!
Lethia Aleetheia,Eden: It's an Endless World!
Loji,Eden: It's an Endless World!
Miriam Arona,Eden: It's an Endless World!
Sophia Theodores,Eden: It's an Endless World!
Oswald (ER),Eden's Reach
Elica,"Eden* They Were Only Two, On The Planet."
Lavinia F. Asai,"Eden* They Were Only Two, On The Planet."
Maya Touno,"Eden* They Were Only Two, On The Planet."
Ryou Haruna,"Eden* They Were Only Two, On The Planet."
Sion,"Eden* They Were Only Two, On The Planet."
Amira (EZ),Edens Zero
Callum Steelford,Edens Zero
Couchpo,Edens Zero
Drakken Joe,Edens Zero
E.M. Pino,Edens Zero
Elsie Crimson,Edens Zero
Happy (EZ),Edens Zero
Hermit,Edens Zero
Holy,Edens Zero
Homura Kogetsu,Edens Zero
Ijuna,Edens Zero
Jinn,Edens Zero
Justice (EZ),Edens Zero
Kleene,Edens Zero
Laguna Husert,Edens Zero
Lavilla Christi,Edens Zero
Lyra (EZ),Edens Zero
Master Noah,Edens Zero
Michael (EZ),Edens Zero
Milani,Edens Zero
Mosco Versa-0,Edens Zero
Mother (EZ),Edens Zero
Poseidon Shura,Edens Zero
Rebecca-Wecca,Edens Zero
Shiki Granbell,Edens Zero
Sister (EZ),Edens Zero
Valkyrie (EZ),Edens Zero
Weisz Steiner,Edens Zero
Weisz Steiner (X492),Edens Zero
Witch (EZ),Edens Zero
Xiao Mei,Edens Zero
Ziggy (EZ),Edens Zero
Edith,Edith
Phillip Baker,Edith
Edna Konrad,Edna and Harvey
Lilli (E&H),Edna and Harvey
Birina,Ednaldo Pereira
Candidato Chico,Ednaldo Pereira
ednaldus,Ednaldo Pereira
João Bebarrão,Ednaldo Pereira
Koganei Koito,Edomae Elf
Edward Scissorhands,Edward Scissorhands
Kim Boggs,Edward Scissorhands
Chihiro Shindou,ef: A Tale of Memories.
Emi Izumi,ef: A Tale of Memories.
Hiro Hirono,ef: A Tale of Memories.
Kei Shindou,ef: A Tale of Memories.
Kuze Shuichi,ef: A Tale of Memories.
Kyosuke Tsutsumi,ef: A Tale of Memories.
Miyako Miyamura,ef: A Tale of Memories.
Mizuki Hayama,ef: A Tale of Memories.
Nagi Hirono,ef: A Tale of Memories.
Renji Asou,ef: A Tale of Memories.
Sumire Asou,ef: A Tale of Memories.
Yuu Himura,ef: A Tale of Memories.
Yuuko Amamiya,ef: A Tale of Memories.
Joshua Ingram,Egao no Daika
Lily Earhart,Egao no Daika
Stella Shining,Egao no Daika
Yuuki Soleil,Egao no Daika
Eggy,Eggnoid
Ran (EN),Eggnoid
Charlie (EoS),Eggs of Steel: Charlie's Eggcellent Adventure
Girl (EGM),Egomama
Yoko Kishibojin,Ehrgeiz
Crow Blacksmith,Eien Hanahadashii
Aselia the Eternal,Eien no Aselia - The Spirit of Eternity Sword
Esperia Greenspirit,Eien no Aselia - The Spirit of Eternity Sword
Euphoria the Everlasting,Eien no Aselia - The Spirit of Eternity Sword
Oruphaliru Redspirit,Eien no Aselia - The Spirit of Eternity Sword
Joelle Davidovich Pomponette,Eiga Daisuki Pompo-san
Davey Stone,Eight Crazy Nights
Whitey Duvall,Eight Crazy Nights
Chiharu Shinonome,Eiken
Kirika Misono,Eiken
Komoe Harumachi,Eiken
Komon,Eiken
Kyoko Morooka,Eiken
Lin Grace,Eiken
Yuriko Shinonome,Eiken
Dorothea Molders,Eikoku Koi Monogatari Emma
Eleanor Campbell,Eikoku Koi Monogatari Emma
Emma (EKME),Eikoku Koi Monogatari Emma
Hakim Atawari,Eikoku Koi Monogatari Emma
William Jones,Eikoku Koi Monogatari Emma
Beilene,Eilene and Friends
Beno,Eilene and Friends
Eilene,Eilene and Friends
Étra,Eilene and Friends
Moemi,Eilene and Friends
Natsumi Moe,Eilene and Friends
Yomemi,Eilene and Friends
Inglis,"Eiyu-oh, Bu wo Kiwameru tame Tensei su. Soshite, Sekai Saikyou no Minarai Kisi ♀"
Leone Olfa,"Eiyu-oh, Bu wo Kiwameru tame Tensei su. Soshite, Sekai Saikyou no Minarai Kisi ♀"
Liselotte Arcia,"Eiyu-oh, Bu wo Kiwameru tame Tensei su. Soshite, Sekai Saikyou no Minarai Kisi ♀"
Rafinha Bilford,"Eiyu-oh, Bu wo Kiwameru tame Tensei su. Soshite, Sekai Saikyou no Minarai Kisi ♀"
Hakua Tsuranari,Eiyuu Kaitai
Kougyoku Tsuranari,Eiyuu Kaitai
Arnest Flaming,Eiyuu Kyoushitsu
Blade (EK),Eiyuu Kyoushitsu
Maria (EK),Eiyuu Kyoushitsu
Sophitia Femto,Eiyuu Kyoushitsu
Cortina,Eiyuu no Musume
Michelle (EnM),Eiyuu no Musume
Nicole,Eiyuu no Musume
Achilles (ES),Eiyuu Senki - The World Conquest
Alexander the Great (ES),Eiyuu Senki - The World Conquest
Aristotle,Eiyuu Senki - The World Conquest
Christopher Columbus (ES),Eiyuu Senki - The World Conquest
Cu Chulainn (ES),Eiyuu Senki - The World Conquest
Date Masamune (ES),Eiyuu Senki - The World Conquest
Deceiver of the Queen,Eiyuu Senki - The World Conquest
Enkidu (ES),Eiyuu Senki - The World Conquest
Ferdinand Magellan,Eiyuu Senki - The World Conquest
Francis Drake (ES),Eiyuu Senki - The World Conquest
